harv_biom,non_nat_sp,dead_wood,tree_gaps,predat,detritus,decomposition
0.484614657,0.804253658,0.46215605,0.647685697,no,0.444048505,0.477255652
0.514108224,0.389867324,0.482086788,0.371992536,yes,0.508817127,0.423354332
0.488358437,0.42318663,0.523583398,0.446052441,yes,0.452577892,0.449626421
0.289180936,0.305478938,0.292213644,0.37589342,no,0.688271305,0.772026618
0.529473226,0.682500673,0.580734739,0.421483745,no,0.441313621,0.551624831
0.525185461,0.4853281,0.524154895,0.505050748,no,0.471024134,0.445542167
0.451418242,0.513211112,0.384414752,0.313605905,no,0.485985956,0.367092669
0.564854386,0.567660153,0.580959083,0.262716969,no,0.476511254,0.362159383
0.6484686,0.527183665,0.640697729,0.261553394,no,0.439122004,0.475604619
0.562848848,0.595433161,0.524148607,0.486104162,no,0.376169215,0.519041994
0.45674996,0.494933025,0.523421286,0.455039318,no,0.392082729,0.16767249
0.563695628,0.386845877,0.618993671,0.435736759,yes,0.533601799,0.479283153
0.387584738,0.549927044,0.42399671,0.432922397,no,0.423517841,0.42418011
0.538685717,0.587365782,0.522022282,0.491614532,no,0.249974919,0.191083989
0.388078339,0.587742359,0.38037759,0.441480933,no,0.376641734,0.488142624
0.627754703,0.514902441,0.567538981,0.479926339,no,0.376290883,0.491442174
0.491817039,0.622733128,0.543028292,0.409067929,no,0.398471298,0.453568137
0.438547971,0.59408384,0.452699669,0.374358497,no,0.479267261,0.625428765
0.217875351,0.441747811,0.305248615,0.201598119,no,0.404466943,0.529414083
0.332640637,0.3820232,0.251368452,0.143359107,no,0.618837509,0.75233189
0.354851653,0.661913126,0.302210851,0.49735696,no,0.393921529,0.312972142
0.279958137,0.319776763,0.29970212,0.315043622,yes,0.599912666,0.85348146
0.549028483,0.639404814,0.556856513,0.514460299,no,0.452779397,0.491621554
0.317674104,0.348366055,0.316987864,0.475162262,no,0.596264032,0.596928618
0.243990681,0.210612231,0.15285348,0.133359107,yes,0.776414055,0.79897918
0.494991165,0.415828466,0.48718105,0.374950912,no,0.530891545,0.583448172
0.616026747,0.602103626,0.592814424,0.420954109,no,0.546713642,0.63427669
0.488603314,0.429601173,0.450916152,0.365981968,yes,0.608261537,0.467550726
0.284788077,0.233689634,0.245431363,0.348400045,no,0.709127127,0.824242114
0.363143106,0.666003842,0.434301011,0.521659111,no,0.258587576,0.395488122
0.43206257,0.195999879,0.390215642,0.313666926,yes,0.756411969,0.729318578
0.20034776,0.346165047,0.233460355,0.14584062,no,0.554869348,0.573316026
0.431322757,0.351530509,0.426279855,0.503904756,no,0.575433248,0.658367958
0.390814055,0.435118576,0.470845151,0.35407555,no,0.548481178,0.473076549
0.484957571,0.487209564,0.469164644,0.319300688,yes,0.423284128,0.384260394
0.510953101,0.375098357,0.550332134,0.48319777,no,0.503690883,0.545266268
0.339424025,0.414190915,0.429114058,0.136916054,yes,0.561049643,0.520889926
0.196835206,0.198183665,0.262265144,0.254779801,no,0.795767455,0.720141873
0.468929439,0.479471181,0.527302958,0.437987217,no,0.571049802,0.640759233
0.600007056,0.600863967,0.571776616,0.451407563,no,0.283334087,0.486108712
0.466453049,0.404168355,0.447079822,0.35383568,no,0.367342521,0.256161691
0.400672788,0.401081948,0.364042056,0.44192707,no,0.493299197,0.636060247
0.46186027,0.558633582,0.481086876,0.38461264,no,0.536771092,0.592985948
0.497872309,0.495143154,0.483488353,0.453254519,yes,0.698842579,0.413318919
0.48274084,0.467378561,0.458019125,0.2966253,yes,0.47670663,0.476213288
0.446481733,0.635338533,0.446983783,0.566538707,no,0.252736505,0.369923359
0.410230607,0.361871143,0.45332816,0.399327351,yes,0.558815031,0.307241405
0.381543608,0.396509769,0.323159793,0.316053571,yes,0.604218121,0.621772791
0.330069217,0.415100448,0.247990242,0.23489869,yes,0.502568078,0.5023834
0.531614984,0.370214258,0.433942382,0.250625242,yes,0.657227037,0.625764733
0.725876325,0.4862972,0.679885229,0.385595182,yes,0.615289922,0.719521767
0.427590245,0.407653813,0.431164369,0.565629384,no,0.538965146,0.570128105
0.647624467,0.62280167,0.648835218,0.302451488,no,0.481237174,0.410250021
0.54914714,0.535676666,0.557643475,0.423923185,no,0.604814398,0.808087952
0.380947833,0.342007629,0.386234591,0.370822736,no,0.549766759,0.469806994
0.328349026,0.226598829,0.3217714,0.189578377,no,0.625906997,0.845902841
0.31433916,0.367856183,0.394833617,0.246221404,no,0.632297349,0.660352463
0.518802185,0.519000846,0.514062764,0.601909512,no,0.484723362,0.723599688
0.349862301,0.459796269,0.332971063,0.263018124,no,0.484115563,0.540874379
0.501849612,0.444786199,0.539111535,0.311643046,yes,0.363008493,0.139939264
0.380835571,0.497213967,0.451849922,0.230960498,yes,0.783990844,0.648071191
0.299805823,0.47841355,0.308785745,0.24354107,no,0.677668362,0.630300547
0.128951994,0.193259061,0.130015822,0.205651231,no,0.573102555,0.591580492
0.437797942,0.329330442,0.355511342,0.311876413,yes,0.658794915,0.369341668
0.404185467,0.343244305,0.367842996,0.388903353,no,0.401354519,0.237618691
0.375697392,0.494042517,0.413297163,0.431265065,no,0.44896873,0.615770854
0.504990944,0.561133993,0.499179056,0.317282163,no,0.490280824,0.485966332
0.587715794,0.628759003,0.59005097,0.263172986,no,0.432138437,0.511850008
0.381874094,0.329897118,0.448629542,0.128328646,yes,0.353096557,0.421247694
0.544730427,0.466844293,0.580453345,0.599238935,no,0.448098004,0.613216728
0.403703747,0.46802806,0.354544606,0.256254789,no,0.461365568,0.550126369
0.436192102,0.448689428,0.480555381,0.212471188,yes,0.595199266,0.539685164
0.273777086,0.468122363,0.301108101,0.28285255,no,0.335068113,0.330218962
0.555457809,0.343933676,0.582355814,0.371237712,yes,0.524840999,0.554203886
0.680488958,0.562996954,0.620639952,0.30323596,no,0.676481759,0.515655024
0.460667396,0.702198024,0.46577962,0.461684137,no,0.385929035,0.42973707
0.391355582,0.392537978,0.358758597,0.214545742,yes,0.585038523,0.634907233
0.437439098,0.518615169,0.397833279,0.454120016,no,0.547988941,0.661726585
0.263070064,0.47924948,0.273509839,0.26240989,no,0.514161934,0.677970628
0.563027626,0.551864855,0.609678788,0.417641163,no,0.342470167,0.462351605
0.476643127,0.463116678,0.462690775,0.367592178,no,0.614683503,0.602313255
0.335736668,0.480251459,0.344241996,0.180067945,yes,0.490990903,0.599516616
0.551479593,0.388221795,0.480644033,0.198714118,no,0.468544035,0.567122823
0.567131786,0.267517928,0.585421348,0.5700069,no,0.632567184,0.665781257
0.65195429,0.640528201,0.66176774,0.56068519,no,0.669442131,0.706669226
0.281508491,0.147196888,0.241559444,0.290753283,no,0.693852929,0.846841537
0.242409461,0.439843201,0.264509799,0.263204851,yes,0.522779106,0.47095316
0.20287212,0.259431429,0.194369446,0.247948848,yes,0.738530566,0.593561337
0.323901224,0.585217764,0.295739242,0.342761388,no,0.589226252,0.364315688
0.438061403,0.54110391,0.450910123,0.362544925,no,0.426128364,0.35196884
0.557046725,0.566795853,0.607677847,0.441591031,no,0.306548359,0.358003151
0.565064456,0.54324113,0.547155984,0.436030766,no,0.520921366,0.636534458
0.403578075,0.401453735,0.409536606,0.354722154,no,0.514750721,0.545104647
0.168951994,0.390572321,0.251284553,0.272996264,yes,0.511085254,0.504963464
0.597338355,0.477937715,0.579701195,0.514794867,no,0.704745305,0.955215002
0.600939776,0.610769114,0.59136405,0.393508722,no,0.393501804,0.519687404
0.300446364,0.344069324,0.367577164,0.311578097,yes,0.562692473,0.465305756
0.559104968,0.553534566,0.579618468,0.529993501,no,0.395615233,0.254088496
0.434100854,0.410372893,0.436485637,0.357530439,no,0.428492834,0.402804688
0.478276889,0.502023198,0.497187978,0.147782223,no,0.392840432,0.46564986
0.611262094,0.523050902,0.58385569,0.636339471,no,0.272598266,0.284378948
0.312383535,0.383759176,0.375165326,0.338495721,yes,0.698820155,0.586535372
0.570383171,0.526228295,0.60784697,0.39711202,no,0.537845311,0.540774639
0.485663296,0.580511547,0.501007142,0.525518905,no,0.593116433,0.637103626
0.363980264,0.305437753,0.290205922,0.281890268,yes,0.66242051,0.680528287
0.373906944,0.463357581,0.374035384,0.309407147,no,0.609642608,0.656368429
0.425176996,0.538496135,0.466010361,0.392209927,no,0.531541982,0.647474849
0.329273225,0.544080796,0.253730482,0.513076658,yes,0.65799599,0.537162311
0.349464456,0.476069351,0.353600719,0.295901202,no,0.562024233,0.560696853
0.14407093,0.372765234,0.110390274,0.260883188,yes,0.554203816,0.622101842
0.455649226,0.596561262,0.399539409,0.380014557,no,0.636620196,0.698298166
0.503402733,0.199692946,0.477785797,0.313347792,no,0.602034826,0.595204797
0.381297367,0.440766398,0.317091278,0.439943548,no,0.518180043,0.626825298
0.596541988,0.436652896,0.626286658,0.36193552,no,0.529724717,0.638707206
0.516549803,0.500054085,0.438505466,0.264918607,yes,0.60756885,0.529484186
0.236673475,0.361202623,0.309791899,0.343231617,yes,0.762660051,0.785571932
0.620053147,0.598004697,0.659584958,0.604204889,no,0.628270375,0.645133851
0.403528257,0.46804367,0.424389995,0.262770292,no,0.563891494,0.553612998
0.349502722,0.360095303,0.330655765,0.213336672,yes,0.686592122,0.7333744
0.377831671,0.421953299,0.393056275,0.483776785,yes,0.468305083,0.381672616
0.652145951,0.698269386,0.621181041,0.287587751,yes,0.558441408,0.413877879
0.497672203,0.649750864,0.47435483,0.318587646,no,0.472390183,0.344430177
0.393007199,0.565589025,0.357894848,0.62361087,no,0.452693935,0.545712685
0.640791688,0.739063734,0.569988074,0.307447674,no,0.589669645,0.531734011
0.317091821,0.421618934,0.376399697,0.548801563,no,0.375430255,0.548183082
0.557061854,0.420151512,0.507789681,0.310073123,no,0.368208976,0.548770914
0.419111397,0.488107868,0.425292301,0.527479892,yes,0.585036007,0.467180351
0.285242587,0.422818525,0.315046893,0.374413186,no,0.509810887,0.530380954
0.299304397,0.383911662,0.372063333,0.338611465,no,0.53020572,0.62199836
0.180740282,0.232253897,0.209277019,0.126208276,yes,0.588646936,0.535085179
0.344257699,0.50539484,0.352666288,0.539563242,no,0.514703394,0.547423651
0.51993052,0.312930439,0.601353539,0.59234667,no,0.5425361,0.634144605
0.190257392,0.34740568,0.1981027,0.275641956,no,0.589361586,0.653878326
0.354919126,0.29873404,0.323353469,0.3198605,yes,0.845591933,0.79775735
0.558218805,0.469044826,0.610362134,0.336358929,no,0.724359094,0.668203216
0.559231673,0.438334568,0.553601255,0.44838826,yes,0.555033309,0.565520127
0.717918465,0.589225939,0.774725706,0.360215866,no,0.438881388,0.342806563
0.336643884,0.321729809,0.330716972,0.23821813,no,0.731054853,0.720022137
0.420541971,0.575124046,0.375736487,0.373065326,no,0.277500011,0.330935265
0.513397277,0.303970802,0.605496513,0.356385304,no,0.307112392,0.192478768
0.114137483,0.123714829,0.154501777,0.10583792,no,0.742320003,0.803705762
0.504935818,0.410005928,0.550649793,0.270305398,no,0.564209674,0.70239579
0.505922215,0.357546359,0.457482645,0.283184683,no,0.417025943,0.559725922
0.761895667,0.74666096,0.667264036,0.378491966,no,0.151453871,0.212200388
0.510417087,0.258588318,0.546159606,0.444448815,no,0.594371254,0.459072504
0.302803936,0.400663992,0.325554608,0.209134856,no,0.605915988,0.61828107
0.419886657,0.507506824,0.368222248,0.393601729,no,0.584366014,0.720496371
0.388240559,0.472272342,0.417859953,0.243698439,no,0.738939797,0.735634591
0.111394168,0.29861446,0.144501777,0.235724952,yes,0.689617166,0.587619239
0.354523668,0.128202172,0.275628568,0.437501694,no,0.601121131,0.631446823
0.516084594,0.598518663,0.432402759,0.416138556,no,0.498620814,0.537411591
0.380643096,0.333725547,0.383030692,0.280239063,yes,0.581598932,0.557414677
0.333486827,0.425207536,0.225887965,0.455812998,no,0.344965613,0.338673735
0.599516027,0.312177276,0.508412658,0.319262101,no,0.379675928,0.431958267
0.718570876,0.574262427,0.719657793,0.443397865,no,0.143807437,0.043291808
0.417789871,0.759384102,0.448935298,0.285491938,yes,0.513811845,0.242289876
0.413542434,0.444544525,0.436619391,0.319051971,yes,0.637236964,0.604534971
0.182276905,0.175312508,0.109967259,0.248125129,no,0.662350333,0.706415896
0.389746139,0.645036772,0.35919428,0.262169905,no,0.636372855,0.671049099
0.355498734,0.571184306,0.321034595,0.50495466,no,0.582467744,0.866906854
0.61376286,0.513169229,0.610170165,0.507771797,no,0.46885371,0.569253838
0.434610868,0.339879186,0.420089692,0.418772971,no,0.428575305,0.634559969
0.624257214,0.482451869,0.64212878,0.462172895,yes,0.210432139,0.092934474
0.320947635,0.673490237,0.263847649,0.281581769,no,0.48797394,0.671788266
0.377397086,0.49480717,0.385464095,0.267392547,no,0.681564233,0.671725232
0.489669448,0.383276604,0.394089971,0.197313478,no,0.512365166,0.504012981
0.359294643,0.366094905,0.325493696,0.259634911,yes,0.586280432,0.505726415
0.514557888,0.451682549,0.46410325,0.312633173,no,0.630331321,0.692424529
0.438016207,0.52066437,0.364949196,0.329907246,yes,0.726777751,0.706107268
0.373779585,0.304536601,0.367087806,0.199803462,no,0.766524923,0.955887768
0.350669407,0.392262655,0.422383163,0.280158577,no,0.749420627,0.757364627
0.481014775,0.502624749,0.502520456,0.267719867,no,0.576255486,0.61821597
0.564400143,0.602876438,0.534023758,0.495767982,no,0.474966255,0.427584005
0.390545269,0.276882688,0.329445834,0.171880298,no,0.438611561,0.414840965
0.487325871,0.348384024,0.47199425,0.38043213,no,0.472055457,0.346080459
0.355341544,0.321166936,0.308362097,0.036085209,yes,0.60016994,0.671007791
0.649557738,0.734152157,0.604223689,0.402048594,no,0.374086503,0.44114955
0.493957592,0.376920134,0.442886832,0.522660594,no,0.443813147,0.515576502
0.370163676,0.432873953,0.329997609,0.361877123,no,0.627264894,0.4723753
0.552467289,0.423127358,0.554345118,0.254446374,yes,0.408021749,0.6226429
0.450734119,0.529034836,0.399717669,0.350641145,no,0.345112785,0.395088207
0.411499077,0.542414644,0.427761881,0.325620581,yes,0.432764857,0.394292344
0.47034825,0.352861356,0.448035277,0.325526805,no,0.724837836,0.660004091
0.418837046,0.279121082,0.433804872,0.363146996,yes,0.688524655,0.674237949
0.295174557,0.370412356,0.266592071,0.24311731,no,0.431366851,0.527567426
0.426986291,0.180303802,0.394059492,0.175866813,yes,0.798045417,0.92437601
0.260745235,0.491173929,0.257255052,0.299566811,yes,0.656457264,0.627118151
0.329338804,0.541555884,0.322220288,0.332420876,no,0.475730243,0.603046654
0.332479918,0.323908922,0.307444248,0.491012599,no,0.294838553,0.110029874
0.363950346,0.190303802,0.403266617,0.01164893,yes,0.995299095,0.907984014
0.449731796,0.397627116,0.397082632,0.333820201,no,0.692371582,0.658016411
0.493927697,0.49400946,0.476356713,0.471721457,yes,0.427363872,0.391788302
0.373812549,0.359336163,0.342447619,0.215247843,no,0.520759026,0.301855678
0.427398226,0.602337253,0.42900893,0.307703687,yes,0.525893424,0.372739834
0.521756373,0.60652461,0.600329733,0.274259159,no,0.550478367,0.668458579
0.478838724,0.32739023,0.439932242,0.402400547,no,0.304906446,0.162955519
0.536039098,0.445233158,0.541590204,0.400801074,no,0.569808204,0.768965038
0.451773816,0.48552039,0.418149467,0.358322373,no,0.54674947,0.738341734
0.621532172,0.529803669,0.52567062,0.405327868,no,0.461329636,0.380439051
0.557568274,0.694389844,0.609137613,0.607578356,no,0.287500011,0.120029874
0.406238289,0.443084878,0.340431162,0.646044812,no,0.504608863,0.469232381
0.375676918,0.386812933,0.386133852,0.33187675,no,0.414851184,0.49156735
0.234073904,0.409822786,0.229406947,0.468065965,yes,0.572172844,0.397886904
0.399623779,0.42165601,0.416628894,0.320255091,yes,0.547946348,0.382685686
0.460086484,0.42095246,0.475819987,0.432629214,no,0.68138199,0.684891755
0.462653708,0.633006922,0.509636237,0.514401052,yes,0.401566881,0.354226993
0.449557685,0.195374478,0.436057574,0.233804985,no,0.495830341,0.637659822
0.262678288,0.305187559,0.234125999,0.281304558,no,0.480139314,0.422745835
0.488077949,0.277613779,0.489608931,0.254560235,no,0.509450404,0.5724083
0.354219074,0.464294177,0.418690002,0.187474591,no,0.80897351,0.803059791
0.346813858,0.471493292,0.35821147,0.272794029,no,0.566237628,0.509102225
0.415734757,0.350696911,0.390799828,0.296063116,no,0.514099077,0.512233875
0.442541223,0.249092225,0.468192708,0.341050603,no,0.569262545,0.514268728
0.570598159,0.296216346,0.58962687,0.08505344,no,0.69652798,0.573430035
0.308765462,0.348949835,0.353771152,0.450803762,no,0.633288066,0.784706248
0.408857538,0.384046165,0.375343301,0.446858528,yes,0.599122477,0.578091038
0.346689747,0.239907951,0.368835994,0.275092078,yes,0.557554462,0.447977621
0.67260185,0.490530967,0.526536989,0.50756537,no,0.404036587,0.45921229
0.553479602,0.484758,0.502628827,0.493891163,no,0.487123174,0.627408779
0.375026983,0.488657295,0.375759713,0.212939791,no,0.862920753,0.957979618
0.53338765,0.594389465,0.528998963,0.481017956,no,0.359306242,0.371506883
0.367067388,0.386491923,0.39248215,0.388357391,no,0.464185879,0.557575742
0.32398739,0.426824962,0.304430742,0.241693888,no,0.464681299,0.451167036
