aphid,host_plant,garlic_ef,garlic,enemy,no_enemy,predator,parasite
18.87860184,29.90171905,absent,0,parasite,0,0,1
26.69156943,65.22616598,present,1,parasite,0,0,1
18.96342094,34.31040548,present,1,no,1,0,0
16.33943542,44.04875851,present,1,parasite,0,0,1
16.10341075,15.77602965,absent,0,predator,0,1,0
13.48912287,43.08034612,absent,0,predator,0,1,0
22.75867381,42.97894499,absent,0,predator,0,1,0
22.6938569,50.44342532,absent,0,predator,0,1,0
5.821475487,22.81078548,present,1,predator,0,1,0
22.54841964,55.54256113,present,1,parasite,0,0,1
15.71408929,34.06434696,present,1,predator,0,1,0
18.50456458,35.18064169,present,1,predator,0,1,0
28.4680006,33.86207455,absent,0,predator,0,1,0
39.28117918,55.35633083,present,1,no,1,0,0
55.94912539,66.83171454,present,1,parasite,0,0,1
20.75641109,32.15671843,present,1,no,1,0,0
52.28133876,69.46812955,absent,0,no,1,0,0
15.3378916,48.54825772,present,1,parasite,0,0,1
38.00270004,73.35799562,present,1,no,1,0,0
65.76335983,92.36668363,absent,0,parasite,0,0,1
30.57621612,43.08229677,present,1,no,1,0,0
18.83533977,55.90758605,absent,0,predator,0,1,0
27.6290243,68.85331395,absent,0,predator,0,1,0
53.93432827,82.09610721,absent,0,parasite,0,0,1
13.70128658,72.66826929,present,1,predator,0,1,0
46.88993873,75.76211194,absent,0,no,1,0,0
51.1199649,60.98476652,absent,0,parasite,0,0,1
33.79598605,45.62101114,absent,0,parasite,0,0,1
33.11071945,28.3387423,absent,0,no,1,0,0
26.0865569,42.04262712,present,1,predator,0,1,0
26.02949882,21.75883425,present,1,no,1,0,0
39.40931426,53.94917919,absent,0,no,1,0,0
58.26265684,83.4948131,absent,0,no,1,0,0
28.68509091,65.22695118,present,1,parasite,0,0,1
13.66959391,17.26118534,present,1,no,1,0,0
22.92937953,34.12912516,present,1,predator,0,1,0
33.37776928,64.66128747,absent,0,parasite,0,0,1
23.22053798,56.49149273,absent,0,no,1,0,0
28.07406103,53.52042512,absent,0,predator,0,1,0
25.35200722,56.0823928,absent,0,predator,0,1,0
13.28390628,44.99779247,present,1,predator,0,1,0
27.3092986,39.1912637,absent,0,parasite,0,0,1
40.68710557,61.93118592,absent,0,no,1,0,0
38.58740316,85.32030521,absent,0,parasite,0,0,1
36.9401171,88.87691684,absent,0,predator,0,1,0
22.14053368,55.37338428,absent,0,no,1,0,0
28.73464901,54.38804352,present,1,predator,0,1,0
13.63001802,36.24866191,present,1,no,1,0,0
30.14766779,49.00839645,absent,0,parasite,0,0,1
35.60481428,38.34116608,absent,0,predator,0,1,0
53.97309413,86.95352797,absent,0,predator,0,1,0
47.24660535,52.96375288,absent,0,parasite,0,0,1
24.93944065,46.84050382,present,1,parasite,0,0,1
34.74211149,69.5729595,present,1,parasite,0,0,1
20.13449733,36.91710574,present,1,parasite,0,0,1
42.44669685,60.19191532,absent,0,no,1,0,0
45.39290793,53.86194866,absent,0,no,1,0,0
61.02702444,66.13431176,absent,0,no,1,0,0
37.54518039,65.99413996,present,1,predator,0,1,0
27.58214098,43.61931821,present,1,no,1,0,0
31.78590935,62.45375247,present,1,no,1,0,0
22.61797796,54.34510333,present,1,no,1,0,0
18.36532623,54.6333174,absent,0,parasite,0,0,1
31.92712211,56.18890379,absent,0,parasite,0,0,1
20.42001464,37.00128235,present,1,parasite,0,0,1
30.90558208,97.55772874,present,1,predator,0,1,0
36.85844596,44.09623178,absent,0,no,1,0,0
28.52998277,49.36879758,absent,0,no,1,0,0
31.78022702,42.12885175,present,1,predator,0,1,0
24.28522295,53.36975156,present,1,parasite,0,0,1
15.34292582,44.75156432,present,1,predator,0,1,0
41.25600411,77.77559239,absent,0,predator,0,1,0
30.75421627,46.3373239,absent,0,no,1,0,0
39.54022337,61.91787879,absent,0,no,1,0,0
9.713477266,61.50861473,present,1,parasite,0,0,1
32.23970463,63.92744896,absent,0,predator,0,1,0
40.05000273,46.23970494,absent,0,no,1,0,0
33.67183764,49.15619804,present,1,parasite,0,0,1
24.86181233,65.44502399,absent,0,predator,0,1,0
20.65437075,48.49525553,present,1,no,1,0,0
60.39994951,65.36795912,absent,0,no,1,0,0
42.19911572,58.88988715,present,1,no,1,0,0
57.06401973,65.16323514,present,1,no,1,0,0
30.51628996,70.75883111,absent,0,parasite,0,0,1
23.23855376,34.76383525,present,1,parasite,0,0,1
10.94327429,49.22269571,present,1,parasite,0,0,1
22.5089833,50.34252752,present,1,predator,0,1,0
33.24495154,65.89988359,present,1,parasite,0,0,1
45.74346695,78.41297184,absent,0,predator,0,1,0
36.27094678,43.84991081,absent,0,predator,0,1,0
16.75097025,37.69557519,present,1,predator,0,1,0
39.83102092,57.28219252,absent,0,no,1,0,0
7.586947984,38.64450379,present,1,predator,0,1,0
25.63083323,54.26523396,present,1,parasite,0,0,1
28.34027705,70.73060031,present,1,parasite,0,0,1
3.950900357,24.49083909,present,1,parasite,0,0,1
42.30483083,80.07676793,absent,0,predator,0,1,0
23.20993727,47.57605363,present,1,parasite,0,0,1
28.1458126,37.20198004,present,1,parasite,0,0,1
49.26716453,62.61688968,absent,0,no,1,0,0
41.93995662,62.72264141,absent,0,predator,0,1,0
27.41764547,53.79498288,absent,0,predator,0,1,0
36.62132231,51.32360738,present,1,no,1,0,0
37.59078269,47.32967325,present,1,no,1,0,0
55.25416172,78.61524204,absent,0,parasite,0,0,1
34.34997112,52.65055448,absent,0,predator,0,1,0
38.13390137,64.26724712,present,1,no,1,0,0
37.19801081,60.41014561,present,1,parasite,0,0,1
